substation_iri,bay_iri
http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10139_AG+P-019654+B2223+Paardevlei+132kV,http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10139_AG+P-019654+B2223+Paardevlei+132kV/AG+P-019654+B2223+Paardevlei+132kV%2FE07
http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10139_AG+P-019654+B2223+Paardevlei+132kV,http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10139_AG+P-019654+B2223+Paardevlei+132kV/AG+P-019654+B2223+Paardevlei+132kV%2FE08
http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10139_AG+P-019654+B2223+Paardevlei+132kV,http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10139_AG+P-019654+B2223+Paardevlei+132kV/AG+P-019654+B2223+Paardevlei+132kV%2FE09
http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10139_AG+P-019654+B2223+Paardevlei+132kV,http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10139_AG+P-019654+B2223+Paardevlei+132kV/AG+P-019654+B2223+Paardevlei+132kV%2FE10
http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10139_AG+P-019654+B2223+Paardevlei+132kV,http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10139_AG+P-019654+B2223+Paardevlei+132kV/AG+P-019654+B2223+Paardevlei+132kV%2FE11
http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10139_AG+P-019654+B2223+Paardevlei+132kV,http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10139_AG+P-019654+B2223+Paardevlei+132kV/AG+P-019654+B2223+Paardevlei+132kV%2FE12
http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10139_AG+P-019654+B2223+Paardevlei+132kV,http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10139_AG+P-019654+B2223+Paardevlei+132kV/AG+P-019654+B2223+Paardevlei+132kV%2FE13
http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10139_AG+P-019654+B2223+Paardevlei+132kV,http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10139_AG+P-019654+B2223+Paardevlei+132kV/AG+P-019654+B2223+Paardevlei+132kV%2FE14
http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10139_AG+P-019654+B2223+Paardevlei+132kV,http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10139_AG+P-019654+B2223+Paardevlei+132kV/AG+P-019654+B2223+Paardevlei+132kV%2FE15
http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10139_AG+P-019654+B2223+Paardevlei+132kV,http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10139_AG+P-019654+B2223+Paardevlei+132kV/AG+P-019654+B2223+Paardevlei+132kV%2FE16
http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10139_AG+P-019654+B2223+Paardevlei+132kV,http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10139_AG+P-019654+B2223+Paardevlei+132kV/AG+P-019654+B2223+Paardevlei+132kV%2FE17
http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10139_AG+P-019654+B2223+Paardevlei+132kV,http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10139_AG+P-019654+B2223+Paardevlei+132kV/AG+P-019654+B2223+Paardevlei+132kV%2FE18
http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10139_AG+P-019654+B2223+Paardevlei+132kV,http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10139_AG+P-019654+B2223+Paardevlei+132kV/AG+P-019654+B2223+Paardevlei+132kV%2FE19
http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10139_AG+P-019654+B2223+Paardevlei+132kV,http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10139_AG+P-019654+B2223+Paardevlei+132kV/AG+P-019654+B2223+Paardevlei+132kV%2FE20
http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10166_AU%3A+P-019204+B1253+Evans+Churchill+69+kV+APS+,http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10166_AU%3A+P-019204+B1253+Evans+Churchill+69+kV+APS+/AU%3A+P-019204+B1253+Evans+Churchill+69+kV+APS+%2FF01.A
http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10166_AU%3A+P-019204+B1253+Evans+Churchill+69+kV+APS+,http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10166_AU%3A+P-019204+B1253+Evans+Churchill+69+kV+APS+/AU%3A+P-019204+B1253+Evans+Churchill+69+kV+APS+%2FF01.B
http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10166_AU%3A+P-019204+B1253+Evans+Churchill+69+kV+APS+,http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10166_AU%3A+P-019204+B1253+Evans+Churchill+69+kV+APS+/AU%3A+P-019204+B1253+Evans+Churchill+69+kV+APS+%2FF01.C
http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10166_AU%3A+P-019204+B1253+Evans+Churchill+69+kV+APS+,http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10166_AU%3A+P-019204+B1253+Evans+Churchill+69+kV+APS+/AU%3A+P-019204+B1253+Evans+Churchill+69+kV+APS+%2FF02.A
http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10166_AU%3A+P-019204+B1253+Evans+Churchill+69+kV+APS+,http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10166_AU%3A+P-019204+B1253+Evans+Churchill+69+kV+APS+/AU%3A+P-019204+B1253+Evans+Churchill+69+kV+APS+%2FF02.B
http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10166_AU%3A+P-019204+B1253+Evans+Churchill+69+kV+APS+,http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10166_AU%3A+P-019204+B1253+Evans+Churchill+69+kV+APS+/AU%3A+P-019204+B1253+Evans+Churchill+69+kV+APS+%2FF02.C
http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10166_AU%3A+P-019204+B1253+Evans+Churchill+69+kV+APS+,http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10166_AU%3A+P-019204+B1253+Evans+Churchill+69+kV+APS+/AU%3A+P-019204+B1253+Evans+Churchill+69+kV+APS+%2FF03.A
http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10166_AU%3A+P-019204+B1253+Evans+Churchill+69+kV+APS+,http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10166_AU%3A+P-019204+B1253+Evans+Churchill+69+kV+APS+/AU%3A+P-019204+B1253+Evans+Churchill+69+kV+APS+%2FF03.B
http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10166_AU%3A+P-019204+B1253+Evans+Churchill+69+kV+APS+,http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10166_AU%3A+P-019204+B1253+Evans+Churchill+69+kV+APS+/AU%3A+P-019204+B1253+Evans+Churchill+69+kV+APS+%2FF03.C
http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10166_AU%3A+P-019204+B1253+Evans+Churchill+69+kV+APS+,http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10166_AU%3A+P-019204+B1253+Evans+Churchill+69+kV+APS+/AU%3A+P-019204+B1253+Evans+Churchill+69+kV+APS+%2FF04.A
http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10166_AU%3A+P-019204+B1253+Evans+Churchill+69+kV+APS+,http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10166_AU%3A+P-019204+B1253+Evans+Churchill+69+kV+APS+/AU%3A+P-019204+B1253+Evans+Churchill+69+kV+APS+%2FF04.B
http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10166_AU%3A+P-019204+B1253+Evans+Churchill+69+kV+APS+,http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10166_AU%3A+P-019204+B1253+Evans+Churchill+69+kV+APS+/AU%3A+P-019204+B1253+Evans+Churchill+69+kV+APS+%2FF04.C
http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10166_AU%3A+P-019204+B1253+Evans+Churchill+69+kV+APS+,http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10166_AU%3A+P-019204+B1253+Evans+Churchill+69+kV+APS+/AU%3A+P-019204+B1253+Evans+Churchill+69+kV+APS+%2FF05.A
http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10166_AU%3A+P-019204+B1253+Evans+Churchill+69+kV+APS+,http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10166_AU%3A+P-019204+B1253+Evans+Churchill+69+kV+APS+/AU%3A+P-019204+B1253+Evans+Churchill+69+kV+APS+%2FF05.B
http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10166_AU%3A+P-019204+B1253+Evans+Churchill+69+kV+APS+,http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10166_AU%3A+P-019204+B1253+Evans+Churchill+69+kV+APS+/AU%3A+P-019204+B1253+Evans+Churchill+69+kV+APS+%2FF05.C
http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10166_AU%3A+P-019204+B1253+Evans+Churchill+69+kV+APS+,http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10166_AU%3A+P-019204+B1253+Evans+Churchill+69+kV+APS+/AU%3A+P-019204+B1253+Evans+Churchill+69+kV+APS+%2FF06.A
http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10166_AU%3A+P-019204+B1253+Evans+Churchill+69+kV+APS+,http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10166_AU%3A+P-019204+B1253+Evans+Churchill+69+kV+APS+/AU%3A+P-019204+B1253+Evans+Churchill+69+kV+APS+%2FF06.B
http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10166_AU%3A+P-019204+B1253+Evans+Churchill+69+kV+APS+,http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10166_AU%3A+P-019204+B1253+Evans+Churchill+69+kV+APS+/AU%3A+P-019204+B1253+Evans+Churchill+69+kV+APS+%2FF06.C
http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10187_AU%3A+P-020246+B2879+FIN+Varisto+110+kV,http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10187_AU%3A+P-020246+B2879+FIN+Varisto+110+kV/AU%3A+P-020246+B2879+FIN+Varisto+110+kV%2FE03
http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10187_AU%3A+P-020246+B2879+FIN+Varisto+110+kV,http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10187_AU%3A+P-020246+B2879+FIN+Varisto+110+kV/AU%3A+P-020246+B2879+FIN+Varisto+110+kV%2FE04
http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10187_AU%3A+P-020246+B2879+FIN+Varisto+110+kV,http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10187_AU%3A+P-020246+B2879+FIN+Varisto+110+kV/AU%3A+P-020246+B2879+FIN+Varisto+110+kV%2FE05
http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10187_AU%3A+P-020246+B2879+FIN+Varisto+110+kV,http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10187_AU%3A+P-020246+B2879+FIN+Varisto+110+kV/AU%3A+P-020246+B2879+FIN+Varisto+110+kV%2FE06
http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10187_AU%3A+P-020246+B2879+FIN+Varisto+110+kV,http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10187_AU%3A+P-020246+B2879+FIN+Varisto+110+kV/AU%3A+P-020246+B2879+FIN+Varisto+110+kV%2FE07
http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10187_AU%3A+P-020246+B2879+FIN+Varisto+110+kV,http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10187_AU%3A+P-020246+B2879+FIN+Varisto+110+kV/AU%3A+P-020246+B2879+FIN+Varisto+110+kV%2FE08
http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10187_AU%3A+P-020246+B2879+FIN+Varisto+110+kV,http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10187_AU%3A+P-020246+B2879+FIN+Varisto+110+kV/AU%3A+P-020246+B2879+FIN+Varisto+110+kV%2FE09
http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10187_AU%3A+P-020246+B2879+FIN+Varisto+110+kV,http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10187_AU%3A+P-020246+B2879+FIN+Varisto+110+kV/AU%3A+P-020246+B2879+FIN+Varisto+110+kV%2FE10
http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10187_AU%3A+P-020246+B2879+FIN+Varisto+110+kV,http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10187_AU%3A+P-020246+B2879+FIN+Varisto+110+kV/AU%3A+P-020246+B2879+FIN+Varisto+110+kV%2FE11
http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10187_AU%3A+P-020246+B2879+FIN+Varisto+110+kV,http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10187_AU%3A+P-020246+B2879+FIN+Varisto+110+kV/AU%3A+P-020246+B2879+FIN+Varisto+110+kV%2FE20+%28Spare%29
http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10196_AU%3A+P-018783+A5078+Poste+de+Lillo+150+kV+Extension+2,http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10196_AU%3A+P-018783+A5078+Poste+de+Lillo+150+kV+Extension+2/AU%3A+P-018783+A5078+Poste+de+Lillo+150+kV+Extension+2%2FE05
http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10196_AU%3A+P-018783+A5078+Poste+de+Lillo+150+kV+Extension+2,http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10196_AU%3A+P-018783+A5078+Poste+de+Lillo+150+kV+Extension+2/AU%3A+P-018783+A5078+Poste+de+Lillo+150+kV+Extension+2%2FE0b
